address,text,category
0x0021BB98,"E9040812:'nsct'is negative.(ADXF_ReadSj32)","OTHER"
0x0021BBC8,"E9040813:'sj'is NULL.(ADXF_ReadSj32)","OTHER"
0x0021BBF0,"E9040816:'adxf' is NULL.(ADXF_ReadNw32)","OTHER"
0x0021BC18,"E9040817:'nsct' is negative.(ADXF_ReadNw32)","OTHER"
0x0021BC48,"E9040818:'buf' is NULL.(ADXF_ReadNw32)","OTHER"
0x0021BC70,"E9040821:'sj' must be NULL.(ADXF_ReadNw32)","OTHER"
0x0021BCA0,"E0120401:'buf' isn't 64byte alignment.(ADXF_ReadNw)","OTHER"
0x0021BCD8,"E9040822:'adxf' is NULL.(ADXF_Stop)","OTHER"
0x0021BD00,"E9040823:'adxf->stm' is NULL.(ADXF_Stop)","OTHER"
0x0021BD30,"E2092301:'adxf' is NULL.(ADXF_StopNw)","OTHER"
0x0021BD58,"E2092302:'adxf->stm' is NULL.(ADXF_StopNw)","OTHER"
0x0021BD88,"E9040825:'adxf' is NULL.(ADXF_Seek)","OTHER"
0x0021BDB0,"E9040826:'type' is illigal.(ADXF_Seek)","OTHER"
0x0021BDD8,"E9040827:'adxf' is NULL.(ADXF_Tell)","OTHER"
0x0021BE00,"E9040828:'adxf' is NULL.(ADXF_GetFsizeSct)","OTHER"
0x0021BE30,"E9040830:'adxf' is NULL.(ADXF_GetNumReqSct)","OTHER"
0x0021BE60,"E9040831:'adxf' is NULL.(ADXF_GetNumReadSct)","OTHER"
0x0021BE90,"E9040832:'adxf' is NULL.(ADXF_GetStat)","OTHER"
0x0021BEB8,"E9040828:'ptid' is range outside.","OTHER"
0x0021BEE0,"E9040828:'flid' is range outside.","OTHER"
0x0021BF08,"E0041201:state is reading(ADXF_SetReqRdSct)","OTHER"
0x0021BF38,"
ADXT/PS2EE Ver.8.92 Build:Jul 28 2003 17:49:58
","OTHER"
0x0021BF70,"E02080848 ADXT_EntryFname: parameter error","OTHER"
0x0021BFA0,"E0010601:Can't entry file ","OTHER"
0x0021BFC0,"E02080855 ADXT_EntryAfs: parameter error","OTHER"
0x0021BFF0,"E0071301 ADXT_EntryAfs: can't entry ","OTHER"
0x0021C018,"E02080850 ADXT_StartSeamless: parameter error","OTHER"
0x0021C048,"E02080851 ADXT_SetSeamlessLp: parameter error","OTHER"
0x0021C078,"E02080852 ADXT_StartFnameLp: parameter error","OTHER"
0x0021C0A8,"E02080854 ADXT_GetNumFiles: parameter error","OTHER"
0x0021C0D8,"E02080849 ADXT_ResetEntry: parameter error","OTHER"
0x0021C108,"
ADXPS2 Ver.2.45 Build:Jul 28 2003 17:50:00
","OTHER"
0x0021C138,"1060102: Internal Error: adxm_goto_svr_border","OTHER"
0x0021C9A8,"ADXRNA_GetStat: not implemented
","OTHER"
0x0021C9D0,"E03010901 ADXB_DecodeHeader: ","OTHER"
0x0021C9F0,"Can not decode this file format.","OTHER"
0x0021CA18,"CRI-MW","OTHER"
0x0021CA20,"
ADXENC/PS2EE Ver.1.08 Build:Jul 28 2003 17:49:56
","OTHER"
0x0021CA58,"ADXENC.DLL Ver.1.08 Jul 28 2003","OTHER"
0x0021CA88,"(c)CRI","OTHER"
0x0021CA90,"E02110501 adxstmf_stat_exec: can't open ","OTHER"
0x0021CAD0,"ntmp0=%4d, ntmp2=%4d, sum=%4d
","OTHER"
0x0021CAF0,"niop0=%4d, niop2=%4d, sum=%4d
","OTHER"
0x0021CB10,"stat=%4d, ttl=%4d
","OTHER"
0x0021CB28,"E02080804 ADXT_Create: parameter error","OTHER"
0x0021CB50,"E02080805 ADXT_Destroy: parameter error","OTHER"
0x0021CB78,"E02080812 ADXT_StartSj: parameter error","OTHER"
0x0021CBA0,"E02080813 ADXT_Stop: parameter error","OTHER"
0x0021CBC8,"E02080814 ADXT_GetStat: parameter error","OTHER"
0x0021CBF0,"E02080815 ADXT_GetTime: parameter error","OTHER"
0x0021CC18,"E02080817 ADXT_GetNumSmpl: parameter error","OTHER"
0x0021CC48,"E02080819 ADXT_GetSfreq: parameter error","OTHER"
0x0021CC78,"E02080820 ADXT_GetNumChan: parameter error","OTHER"
0x0021CCA8,"E02080822 ADXT_GetHdrLen: parameter error","OTHER"
0x0021CCD8,"E02080821 ADXT_GetFmtBps: parameter error","OTHER"
0x0021CD08,"E02080825 ADXT_SetOutPan: parameter error","OTHER"
0x0021CD38,"E8101208 ADXT_SetOutPan: parameter error","OTHER"
0x0021CD68,"E02080826 ADXT_GetOutPan: parameter error","OTHER"
0x0021CD98,"E02080870 ADXT_SetOutBalance: parameter error","OTHER"
0x0021CDC8,"E02080871 ADXT_GetOutBalance: parameter error","OTHER"
0x0021CDF8,"E02080823 ADXT_SetOutVol: parameter error","OTHER"
0x0021CE28,"E02080824 ADXT_GetOutVol: parameter error","OTHER"
